x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
519.707,571.987,358.999,672.502,173.210,624.378,317.781,326.563,130.671,283.782,556.368,429.296,300.033,80.587,177.911,155.996,530.221,107.934,nan,nan
519.701,570.954,359.582,672.488,174.377,623.704,317.872,326.599,129.492,283.664,556.332,429.321,300.421,79.789,177.355,154.910,527.705,103.760,nan,nan
519.853,570.493,359.473,671.749,176.010,623.723,317.777,326.369,128.921,283.622,556.181,429.464,303.247,78.439,178.000,152.787,527.063,95.744,nan,nan
520.037,569.682,359.595,671.528,177.419,622.540,316.983,325.201,129.257,283.940,555.969,429.922,306.932,71.931,177.697,153.646,525.418,93.416,nan,nan
520.353,570.054,359.670,671.334,177.635,622.801,316.712,324.943,128.580,283.895,556.631,428.035,309.632,67.160,178.369,151.953,524.084,87.830,nan,nan
520.319,569.544,359.971,671.220,177.821,622.463,317.070,325.666,128.222,283.956,555.857,427.914,312.311,66.362,177.630,152.915,524.939,87.951,nan,nan
520.419,568.914,359.870,670.641,178.979,622.270,316.714,325.066,127.855,283.952,557.591,426.839,313.537,65.959,178.121,151.825,525.062,87.774,nan,nan
520.533,568.515,359.983,670.657,178.909,622.174,316.734,325.002,129.294,284.402,557.147,424.338,314.155,65.782,178.117,151.842,525.344,87.665,nan,nan
520.483,568.059,360.166,670.288,178.871,622.216,316.668,324.987,126.104,283.120,557.172,423.386,314.562,65.019,178.465,150.826,525.590,87.872,nan,nan
520.571,567.891,360.269,670.353,179.238,622.142,316.792,325.651,123.847,282.649,557.091,422.305,314.590,65.428,178.294,152.087,525.413,86.749,nan,nan
520.545,567.959,360.087,669.477,179.548,622.030,316.399,325.890,121.446,282.335,556.839,420.923,314.160,66.614,178.374,151.348,526.173,88.103,nan,nan
521.110,568.450,360.178,669.321,179.038,622.578,312.929,324.811,120.276,281.774,556.805,420.535,314.151,66.747,178.374,151.348,526.046,87.417,nan,nan
521.049,568.008,360.314,669.168,179.794,622.330,310.823,322.750,118.282,281.568,557.291,425.117,314.865,65.538,178.356,150.980,526.103,86.857,nan,nan
521.033,567.567,359.915,667.639,179.174,622.574,308.046,320.806,118.090,281.597,557.315,422.750,315.091,65.714,178.356,150.980,526.479,87.538,nan,nan
521.021,567.377,361.283,668.159,179.465,622.312,304.682,319.045,117.374,281.607,557.053,425.299,314.856,66.397,178.356,150.980,526.257,87.103,nan,nan
521.295,567.945,364.744,672.657,178.747,622.836,302.945,318.025,117.201,281.709,559.248,425.574,314.926,65.929,178.356,150.980,526.468,86.709,nan,nan
521.300,568.047,366.827,672.586,179.763,622.175,301.726,317.443,116.815,281.717,559.808,425.021,315.160,65.670,178.603,150.824,526.516,86.509,nan,nan
523.408,565.048,368.725,672.713,178.020,620.917,299.558,316.135,116.316,281.846,560.839,424.881,314.945,66.084,178.314,151.599,526.747,86.607,nan,nan
523.462,558.583,368.700,671.505,175.157,618.228,300.162,316.938,115.913,281.878,561.567,424.922,315.162,65.804,178.603,150.824,526.597,86.481,nan,nan
527.479,553.231,369.901,671.991,174.021,615.941,298.679,316.245,115.258,282.005,561.813,424.944,315.512,64.843,178.007,151.467,527.209,87.072,nan,nan
529.265,548.293,370.216,671.218,173.034,612.490,298.545,316.273,114.908,281.930,562.252,424.446,315.317,65.659,177.360,152.450,526.542,85.635,nan,nan
531.430,544.360,370.858,671.441,172.606,611.771,298.560,316.287,115.196,281.967,562.926,422.849,315.396,65.423,178.066,149.300,526.877,86.231,nan,nan
533.234,542.714,371.019,670.745,172.061,610.047,297.159,315.642,115.235,282.004,562.838,423.084,315.486,65.184,177.487,149.802,526.943,86.008,nan,nan
533.972,541.164,371.245,670.232,171.761,609.158,297.390,316.004,114.905,282.026,563.498,421.229,315.368,65.890,177.667,149.483,527.401,86.760,nan,nan
535.049,539.439,371.495,670.324,171.716,607.959,296.169,315.465,114.948,282.234,563.092,421.896,316.616,69.458,177.468,149.454,527.482,86.784,nan,nan
535.641,538.293,371.725,670.215,171.108,607.131,296.895,316.036,115.050,282.633,563.417,420.970,315.202,69.136,177.632,148.435,527.912,84.573,nan,nan
536.307,537.391,371.921,670.042,171.319,607.753,296.957,316.170,115.193,282.945,564.353,420.428,315.495,68.625,177.784,148.021,529.029,79.323,nan,nan
538.176,539.715,371.739,669.113,171.291,607.309,296.877,315.956,114.208,283.024,561.055,426.383,316.340,68.223,177.795,148.322,530.273,78.403,nan,nan
539.763,538.820,372.074,669.312,171.107,606.616,296.810,316.335,115.216,283.198,555.293,424.006,316.660,67.338,177.817,148.243,531.685,75.592,nan,nan
545.071,530.937,372.488,669.317,170.851,605.550,296.581,316.232,114.491,283.118,549.068,421.877,316.808,66.187,177.817,148.243,532.533,75.137,nan,nan
550.013,530.527,372.767,669.361,170.826,605.323,296.461,316.303,114.762,283.027,547.006,420.375,317.404,66.584,177.868,148.269,533.979,75.397,nan,nan
553.957,524.731,372.203,668.330,170.761,604.937,295.697,315.794,115.112,283.203,546.252,417.944,318.017,67.837,177.868,148.269,534.612,74.328,nan,nan
556.780,523.880,373.795,668.481,170.847,605.128,295.049,315.628,113.692,283.080,545.278,418.032,318.042,67.884,177.732,148.466,534.457,71.995,nan,nan
